epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2282.97,3.30027,8.4622,1.40214,0,0,0,0,3.06907,8.24474,1.2718,3.325e-07,3.325e-07,3.325e-07
2,4377.82,3.15092,8.44413,1.34962,0,0,0,0,2.86806,8.23487,1.21586,5.99916e-07,5.99916e-07,5.99916e-07
3,6594.46,3.01353,8.41371,1.30128,0,0,0,0,2.72292,8.236,1.1802,8.01332e-07,8.01332e-07,8.01332e-07
4,8945.74,2.84534,8.39132,1.25348,0,0,0,0,2.54358,8.22738,1.13818,7.03e-07,7.03e-07,7.03e-07
5,11311.1,2.71493,8.36905,1.2177,0,0,0,0,2.45004,8.22073,1.11167,6.04e-07,6.04e-07,6.04e-07
6,13647.9,2.6062,8.35717,1.19685,0,0,0,0,2.34644,8.21629,1.09092,5.05e-07,5.05e-07,5.05e-07
7,16013.5,2.49948,8.33846,1.16734,0,0,0,0,2.26099,8.21161,1.07257,4.06e-07,4.06e-07,4.06e-07
8,18349.1,2.45065,8.33578,1.15431,0,0,0,0,2.22699,8.20994,1.06379,3.07e-07,3.07e-07,3.07e-07
9,20711.8,2.39937,8.32569,1.14562,0,0,0,0,2.1717,8.20701,1.05557,2.08e-07,2.08e-07,2.08e-07
10,23047.8,2.39875,8.32259,1.14082,0,0,0,0,2.14769,8.19318,1.04863,1.09e-07,1.09e-07,1.09e-07
